City,MeanScore,SigmaScore,NumImages
Gaborone,5.508708675,1.293994288,4730
BeloHorizonte,5.636470165,1.541199936,15078
Valparaiso,5.654485657,1.425623935,2658
LosAngeles,5.752803083,1.603116151,13735
Melbourne,5.783802313,1.494640178,27801
Dublin,5.835327879,1.357556772,18839
Glasgow,5.8405447,1.420653183,12594
Santiago,5.910420196,1.561191574,33323
Kyoto,5.934676359,1.551488049,4859
Lisbon,5.938488631,1.419067441,15698
SanFrancisco,5.942479339,1.537603606,9763
Guadalajara,5.975575446,1.54896647,14029
MexicoCity,6.012436803,1.566582912,19637
SaoPaulo,6.017717681,1.549908614,29041
Denver,6.04827376,1.626410683,23570
Copenhagen,6.091480845,1.483728597,6499
Tokyo,6.100126589,1.575571531,35023
Chicago,6.102292219,1.653833181,35777
Barcelona,6.124222773,1.749010421,13730
Houston,6.130449871,1.578781619,26029
Zagreb,6.145831089,1.422956058,8131
Prague,6.152326666,1.430055685,17061
Portland,6.175178353,1.48373637,16530
Toronto,6.224385339,1.488164026,27708
Johannesburg,6.237831444,1.489390144,14009
Bratislava,6.243588593,1.418159841,6013
Madrid,6.244136837,1.539798031,19720
Montreal,6.269603195,1.544075799,26627
Bucharest,6.284191111,1.349319337,15754
Sydney,6.286867116,1.432293144,25352
Seoul,6.288717965,1.377579637,19378
Seattle,6.328889088,1.542246818,17453
Milan,6.361608891,1.430971915,16323
TelAviv,6.374489673,1.552811043,4077
Munich,6.383280581,1.334793803,16982
Kiev,6.396101534,1.267309239,6399
London,6.424100313,1.526838978,34688
Moscow,6.444499434,1.335184443,29814
Stockholm,6.453917079,1.397002867,14012
HongKong,6.455765056,1.308885079,3089
Taipei,6.462638327,1.577305826,11815
Paris,6.48044026,1.532542489,28731
Boston,6.486975503,1.593238719,14130
WashingtonDC,6.51620485,1.497437774,12173
NewYork,6.609287678,1.552883125,34602
Minneapolis,6.635843022,1.682922202,10162
Warsaw,6.647151933,1.339143849,22730
Rome,6.679223905,1.400408516,18094
Bangkok,6.717662208,1.381479837,10159
Helsinki,6.769236668,1.452495217,8363
Singapore,6.772787579,1.316655718,13922
Amsterdam,6.78326557,1.568781726,3146
